feature,importance
credit.policy,0.32869360040706047
fico,0.2920733956300264
log.annual.inc,0.24584353943108234
installment,0.22553262074385486
inq.last.6mths,0.19755250531285184
revol.bal,0.11349809856621403
int.rate,0.0884014247837645
delinq.2yrs,0.06826497317013736
pub.rec,0.06417093396338582
purpose,0.059376998620893025
dti,0.03903718004368541
days.with.cr.line,0.03488101165652503
revol.util,0.02151207004267963
