Feature,Coefficient,Std_Error,Z_Score,P_Value,CI_Lower,CI_Upper,Odds_Ratio,OR_CI_Lower,OR_CI_Upper
fico,-0.27795257718544997,0.018723152809888753,-14.845393829112345,0.0,-0.31464928236987183,-0.2412558720010281,0.7573327355126263,0.7300448689818398,0.785640577241431
log.annual.inc,-0.2500474584151884,0.012636243260751514,-19.788116867917697,0.0,-0.27481404010614835,-0.22528087672422845,0.7787638232975259,0.7597133863106031,0.7982919656348244
installment,0.21058276921098268,0.012944363877013126,16.26829801848664,0.0,0.1852122822092557,0.23595325621270966,1.2343972190778942,1.2034738891090606,1.2661151257675152
inq.last.6mths,0.1981803865777776,0.01234228539295327,16.05702511877801,0.0,0.17398995172067439,0.2223708214348808,1.2191822981095986,1.1900436078697028,1.2490344607493977
credit.policy,-0.13289449864845948,0.013180459724464848,-10.082690697183194,0.0,-0.1587277250080913,-0.10706127228882766,0.875557459731584,0.8532286401666136,0.8984706199523811
revol.bal,0.11876758145828674,0.011940055896156244,9.946987056946737,0.0,0.09536550192842538,0.1421696609881481,1.1261081594544962,1.1000608560198373,1.152772212419424
purpose,0.11332827861665472,0.010578369967350287,10.713208080870482,0.0,0.092595054465508,0.13406150276780143,1.1199995445069024,1.0970174130083385,1.1434631436302771
int.rate,0.1123688567127175,0.01720458058764591,6.531333684089118,6.518652284626114e-11,0.07864849839181455,0.14608921503362043,1.1189255077210984,1.0818239923578905,1.1572994319530043
pub.rec,0.05886850235540424,0.010463529043537702,5.626065748033791,1.843660979439221e-08,0.0383603622788815,0.07937664243192696,1.0606357604654209,1.0391056198861492,1.0826120029081527
delinq.2yrs,-0.04762152618409418,0.010909882305199533,-4.364989910239295,1.2712862635932964e-05,-0.06900450257785609,-0.026238549790332275,0.9534945915321812,0.9333224777116205,0.974102689897963
dti,-0.040794805779773076,0.011194120831477958,-3.644306363484817,0.00026811390175507377,-0.06273487944805944,-0.018854732111486715,0.9600261015456952,0.9391924399026904,0.9813219064503091
revol.util,0.03187619630687945,0.013456609361333569,2.3688133801723494,0.01784525524149827,0.005501726604641113,0.05825066600911778,1.0323896837373043,1.0055168888959645,1.05998066353462
days.with.cr.line,0.029580764033735354,0.011673756072024647,2.533954268979769,0.011278344942054597,0.006700622568261275,0.05246090549920943,1.0300226208943535,1.0067231219649109,1.0538613610893623
